iter	Logloss
0	0.499462895
1	0.4616751551
2	0.427848877
3	0.4023873459
4	0.3905761192
5	0.3810607761
6	0.3723128155
7	0.3680799729
8	0.3602461556
9	0.354168823
10	0.3486382711
11	0.3423089807
12	0.3372052202
13	0.3289044989
14	0.3249702112
15	0.3203180816
16	0.3143336571
17	0.3103885605
18	0.3067613432
19	0.3038656121
20	0.3000811251
21	0.2970940041
22	0.2931307991
23	0.289539725
24	0.2860048123
25	0.2837682495
26	0.2811901997
27	0.278896423
28	0.2765731883
29	0.2742767036
30	0.2711891
31	0.2687360776
32	0.2661916892
33	0.2644015534
34	0.2620307025
35	0.2601190154
36	0.2583989502
37	0.2564223786
38	0.2541159277
39	0.2523167831
40	0.2511229815
41	0.2489948236
42	0.2468548736
43	0.2448513301
44	0.2426767524
45	0.2409934315
46	0.2396882726
47	0.2383219487
48	0.2361856583
49	0.2343920513
50	0.2330857897
51	0.2313435642
52	0.2299330264
53	0.2276667239
54	0.2262492671
55	0.2249507939
56	0.2230739215
57	0.2213643413
58	0.2192067145
59	0.2183686565
60	0.2170054365
61	0.2162880889
62	0.2150520282
63	0.214087353
