iter	Passed	Remaining
0	42	2708
1	67	2097
2	83	1703
3	95	1430
4	106	1260
5	118	1146
6	130	1060
7	140	985
8	152	932
9	163	884
10	175	845
11	188	816
12	199	783
13	211	755
14	224	734
15	237	712
16	249	690
17	261	669
18	274	650
19	287	631
20	298	612
21	311	594
22	325	579
23	338	564
24	353	551
25	369	539
26	389	533
27	405	521
28	419	505
29	430	488
30	442	471
31	453	453
32	466	438
33	477	421
34	489	405
35	502	390
36	513	374
37	525	359
38	536	344
39	548	329
40	560	314
41	571	299
42	583	284
43	594	270
44	605	255
45	616	241
46	628	227
47	639	213
48	650	199
49	661	185
50	676	172
51	688	158
52	699	145
53	712	131
54	726	118
55	739	105
56	751	92
57	762	78
58	774	65
59	786	52
60	797	39
61	807	26
62	819	13
63	830	0
